epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,12507.3,0.96953,0.49437,0.86783,0.81412,0.68566,0.67811,0.39423,1.28055,0.68425,0.98231,0.0005941,0.0005941,0.0005941
43,12805.1,0.96775,0.49092,0.86731,0.7177,0.70493,0.67912,0.39376,1.27742,0.68952,0.98086,0.0005842,0.0005842,0.0005842
44,13102.8,0.96018,0.48688,0.86509,0.7197,0.71434,0.67828,0.39393,1.27603,0.68639,0.98011,0.0005743,0.0005743,0.0005743
45,13400.3,0.95119,0.4811,0.86136,0.71599,0.70773,0.68189,0.39507,1.27429,0.68167,0.98145,0.0005644,0.0005644,0.0005644
46,13698.1,0.95245,0.48168,0.86486,0.70798,0.72005,0.68408,0.39562,1.27552,0.67705,0.98269,0.0005545,0.0005545,0.0005545
47,13995.9,0.94534,0.47838,0.86339,0.71749,0.715,0.68451,0.39389,1.27897,0.67735,0.98253,0.0005446,0.0005446,0.0005446
48,14293.8,0.94328,0.47807,0.86328,0.70694,0.7137,0.68269,0.39519,1.28138,0.67782,0.9842,0.0005347,0.0005347,0.0005347
49,14591.6,0.94471,0.47792,0.86249,0.71136,0.71372,0.68301,0.3947,1.28001,0.67875,0.98451,0.0005248,0.0005248,0.0005248
50,14889.2,0.93639,0.47323,0.86021,0.71118,0.71614,0.68345,0.39733,1.27832,0.67665,0.98351,0.0005149,0.0005149,0.0005149
51,15186.9,0.93487,0.47126,0.85877,0.71772,0.7141,0.68296,0.397,1.27799,0.67849,0.98379,0.000505,0.000505,0.000505
52,15484.4,0.93071,0.46962,0.85764,0.71033,0.71457,0.68524,0.39827,1.27739,0.67661,0.98305,0.0004951,0.0004951,0.0004951
53,15782,0.92404,0.46762,0.85733,0.82935,0.67812,0.68544,0.39862,1.27848,0.67655,0.98376,0.0004852,0.0004852,0.0004852
54,16080.4,0.91477,0.4629,0.85832,0.83225,0.67858,0.68737,0.39899,1.27959,0.67716,0.98414,0.0004753,0.0004753,0.0004753
55,16377.9,0.91308,0.46044,0.8558,0.84095,0.67665,0.68779,0.40053,1.27881,0.67662,0.98342,0.0004654,0.0004654,0.0004654
56,16675.9,0.91432,0.46047,0.85651,0.84569,0.67607,0.68904,0.40136,1.2778,0.67497,0.98354,0.0004555,0.0004555,0.0004555
57,16974.1,0.90795,0.45743,0.85473,0.8459,0.67441,0.6902,0.40224,1.27654,0.67172,0.98345,0.0004456,0.0004456,0.0004456
58,17271.3,0.91069,0.45839,0.85458,0.82772,0.67981,0.69,0.40263,1.27422,0.67077,0.98302,0.0004357,0.0004357,0.0004357
59,17568.5,0.90176,0.45366,0.85405,0.82206,0.68011,0.69012,0.40304,1.27188,0.6702,0.98211,0.0004258,0.0004258,0.0004258
60,17866.2,0.89854,0.4503,0.85257,0.84405,0.66815,0.68907,0.40374,1.2701,0.66931,0.98193,0.0004159,0.0004159,0.0004159
61,18163.9,0.89497,0.4509,0.85339,0.84729,0.66595,0.68856,0.40408,1.26892,0.66812,0.98187,0.000406,0.000406,0.000406
62,18461.4,0.89188,0.44993,0.85089,0.84089,0.66898,0.68768,0.40478,1.26797,0.66635,0.98169,0.0003961,0.0003961,0.0003961
63,18759.4,0.88856,0.44642,0.852,0.84104,0.66925,0.68847,0.40475,1.26686,0.66517,0.98153,0.0003862,0.0003862,0.0003862
64,19056.5,0.88593,0.44445,0.85177,0.70976,0.72689,0.68923,0.40502,1.26633,0.66508,0.98144,0.0003763,0.0003763,0.0003763
65,19354.5,0.88655,0.44556,0.85006,0.70809,0.72672,0.68871,0.40503,1.26577,0.6657,0.98154,0.0003664,0.0003664,0.0003664
66,19652.2,0.88115,0.44135,0.8518,0.70935,0.72732,0.68968,0.4057,1.26543,0.66546,0.9815,0.0003565,0.0003565,0.0003565
67,19949.7,0.87527,0.43962,0.84932,0.71124,0.7278,0.6895,0.40547,1.26518,0.66576,0.98122,0.0003466,0.0003466,0.0003466
68,20247.4,0.87283,0.43892,0.84883,0.71181,0.72865,0.68876,0.4053,1.26478,0.66577,0.98118,0.0003367,0.0003367,0.0003367
69,20544.9,0.8686,0.43627,0.84728,0.71382,0.72925,0.68898,0.40567,1.26449,0.66588,0.98117,0.0003268,0.0003268,0.0003268
70,20841.7,0.86421,0.43274,0.84671,0.71293,0.72836,0.68896,0.40519,1.26428,0.66583,0.9813,0.0003169,0.0003169,0.0003169
71,21139.4,0.86345,0.43087,0.84535,0.71208,0.729,0.68946,0.40567,1.26439,0.66572,0.9815,0.000307,0.000307,0.000307
72,21437.2,0.86326,0.4339,0.84721,0.71141,0.72694,0.68896,0.40585,1.26434,0.66522,0.98148,0.0002971,0.0002971,0.0002971
73,21735.2,0.86116,0.43162,0.84666,0.8436,0.67163,0.6895,0.40576,1.26398,0.66527,0.98141,0.0002872,0.0002872,0.0002872
74,22033.2,0.85692,0.42903,0.84639,0.71364,0.72902,0.68975,0.40566,1.26402,0.66551,0.98169,0.0002773,0.0002773,0.0002773
75,22331,0.85785,0.42937,0.84582,0.71458,0.7283,0.69074,0.40617,1.264,0.66483,0.98189,0.0002674,0.0002674,0.0002674
76,22629.1,0.85158,0.42578,0.84435,0.71933,0.72412,0.69114,0.40669,1.26417,0.66444,0.98214,0.0002575,0.0002575,0.0002575
77,22926.9,0.84512,0.42276,0.84118,0.72112,0.72174,0.69154,0.40689,1.26434,0.66388,0.98218,0.0002476,0.0002476,0.0002476
78,23224.8,0.84901,0.42495,0.84425,0.7263,0.71698,0.69265,0.40732,1.26434,0.66333,0.98218,0.0002377,0.0002377,0.0002377
79,23522.8,0.84602,0.42302,0.84187,0.72776,0.71598,0.69285,0.4076,1.26416,0.66275,0.9823,0.0002278,0.0002278,0.0002278
80,23821.1,0.83788,0.41889,0.84138,0.72313,0.71979,0.69294,0.40786,1.26422,0.6624,0.98236,0.0002179,0.0002179,0.0002179
81,24119.6,0.83315,0.41667,0.84156,0.72658,0.71873,0.69283,0.4081,1.26409,0.66228,0.98232,0.000208,0.000208,0.000208
82,24417.7,0.83277,0.41549,0.83968,0.73011,0.71586,0.69337,0.4082,1.26381,0.66188,0.98236,0.0001981,0.0001981,0.0001981
83,24715.8,0.82659,0.41367,0.83977,0.73465,0.7152,0.69412,0.40859,1.26378,0.66167,0.98242,0.0001882,0.0001882,0.0001882
84,25013.5,0.83275,0.41531,0.83993,0.73499,0.7145,0.69408,0.40839,1.26389,0.66158,0.98256,0.0001783,0.0001783,0.0001783
85,25310.8,0.82344,0.4121,0.83968,0.73708,0.71516,0.6941,0.40877,1.26398,0.66147,0.9828,0.0001684,0.0001684,0.0001684
86,25608.4,0.82394,0.41238,0.84008,0.74054,0.7053,0.69445,0.40931,1.26411,0.66158,0.98287,0.0001585,0.0001585,0.0001585
87,25906.9,0.82353,0.4131,0.83929,0.72314,0.72749,0.69444,0.40896,1.26411,0.66129,0.98295,0.0001486,0.0001486,0.0001486
88,26204.1,0.81508,0.40763,0.83814,0.72161,0.72587,0.69469,0.40947,1.26433,0.66121,0.98299,0.0001387,0.0001387,0.0001387
89,26502.1,0.823,0.41081,0.8408,0.72148,0.72596,0.69419,0.40938,1.26437,0.66082,0.98299,0.0001288,0.0001288,0.0001288
90,26799.5,0.81487,0.40655,0.83817,0.72366,0.72627,0.69375,0.40922,1.26442,0.6605,0.98315,0.0001189,0.0001189,0.0001189
91,27090.9,0.70594,0.35071,0.81799,0.83353,0.68499,0.69386,0.40942,1.26428,0.66074,0.9831,0.000109,0.000109,0.000109
92,27380.4,0.69182,0.34423,0.81623,0.72478,0.72619,0.69424,0.40938,1.26436,0.66072,0.98311,9.91e-05,9.91e-05,9.91e-05
93,27669.7,0.68224,0.34109,0.81601,0.72641,0.72778,0.69429,0.40941,1.26434,0.66089,0.98315,8.92e-05,8.92e-05,8.92e-05
94,27959,0.68262,0.33943,0.81406,0.7269,0.72981,0.69465,0.40967,1.26441,0.6609,0.98319,7.93e-05,7.93e-05,7.93e-05
95,28248.2,0.68289,0.33946,0.81373,0.72943,0.72142,0.69473,0.40927,1.26435,0.66095,0.98313,6.94e-05,6.94e-05,6.94e-05
96,28537.3,0.67308,0.33553,0.81265,0.73016,0.72025,0.6944,0.40949,1.26422,0.66091,0.98314,5.95e-05,5.95e-05,5.95e-05
97,28826.7,0.67052,0.33488,0.81315,0.73343,0.71932,0.69517,0.4097,1.26398,0.66106,0.98309,4.96e-05,4.96e-05,4.96e-05
98,29116.3,0.66961,0.33343,0.8133,0.7358,0.71798,0.69471,0.40998,1.26385,0.66144,0.98312,3.97e-05,3.97e-05,3.97e-05
99,29405.9,0.66366,0.33182,0.81323,0.73592,0.71897,0.69501,0.40991,1.26356,0.66159,0.98309,2.98e-05,2.98e-05,2.98e-05
100,29696,0.66161,0.33046,0.81132,0.73695,0.71896,0.69502,0.40988,1.26383,0.66238,0.98327,1.99e-05,1.99e-05,1.99e-05
