epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,12849.7,1.38768,1.07932,1.23759,0.6758,0.8074,0.76148,0.48025,1.32448,0.85122,1.23913,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
31,13272.3,1.38606,1.06892,1.23623,0.6753,0.80631,0.76204,0.48186,1.32275,0.84924,1.23675,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
32,13694.4,1.37312,1.06312,1.22921,0.6711,0.80694,0.76327,0.4823,1.3215,0.84753,1.2352,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231
33,14115.7,1.37834,1.07012,1.23271,0.67347,0.80692,0.76411,0.48323,1.32041,0.84507,1.23389,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
34,14539.6,1.37002,1.05156,1.22738,0.67183,0.81043,0.76494,0.48403,1.31961,0.84238,1.23373,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976
35,14964.8,1.36906,1.05117,1.22904,0.67553,0.8119,0.76535,0.48523,1.31822,0.83991,1.23309,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
36,15389.6,1.3596,1.04238,1.22514,0.67654,0.81097,0.76627,0.48611,1.31678,0.83791,1.23212,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
37,15814.7,1.35379,1.0276,1.21712,0.67928,0.80919,0.76608,0.48672,1.31551,0.83598,1.23121,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
38,16239.4,1.35459,1.03499,1.22099,0.67903,0.81199,0.76683,0.48746,1.31465,0.83418,1.23029,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588
39,16663.2,1.36058,1.02776,1.21897,0.68317,0.80906,0.76826,0.48808,1.3135,0.83203,1.22909,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
40,17088.9,1.35054,1.02408,1.21855,0.68203,0.81098,0.76849,0.48842,1.31275,0.83025,1.22858,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675
41,17515.9,1.3485,1.01908,1.21487,0.67969,0.81355,0.76846,0.48865,1.31229,0.82896,1.22794,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
42,17942.6,1.34413,1.00581,1.21164,0.68018,0.81396,0.7688,0.48898,1.31183,0.82723,1.2272,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101
43,18370.5,1.33791,1.00434,1.20674,0.68169,0.81378,0.76911,0.48922,1.31141,0.82577,1.22628,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
44,18796.1,1.33629,1.00552,1.20585,0.68093,0.81646,0.76936,0.48993,1.31092,0.8244,1.22542,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981
45,19220.6,1.32846,0.9997,1.20345,0.68293,0.81546,0.7698,0.49023,1.31015,0.82334,1.22485,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
46,19643.2,1.32931,0.99391,1.20229,0.68399,0.81677,0.7698,0.49052,1.30942,0.8221,1.22428,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435
47,20065.9,1.32481,0.98873,1.20218,0.68291,0.81787,0.76997,0.49109,1.3084,0.82077,1.22322,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
48,20489.6,1.32699,0.98249,1.20097,0.68458,0.81777,0.77003,0.49157,1.30755,0.81927,1.2225,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584
49,20914.1,1.32093,0.97627,1.19757,0.68299,0.81949,0.77044,0.49225,1.30669,0.81784,1.22149,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
50,21338.5,1.31383,0.96451,1.19256,0.68274,0.82037,0.77076,0.49282,1.30573,0.81635,1.22069,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548
51,21761.4,1.3172,0.96864,1.19461,0.68289,0.82061,0.77125,0.49329,1.30515,0.81473,1.22001,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,22182.8,1.31273,0.9706,1.19159,0.68393,0.8203,0.7715,0.49357,1.30411,0.81352,1.21902,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452
53,22605.1,1.31015,0.95439,1.18898,0.68637,0.82107,0.77197,0.4939,1.30305,0.81228,1.21817,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
54,23027.2,1.30381,0.95065,1.18724,0.68698,0.82036,0.77189,0.49429,1.30216,0.81084,1.21752,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416
55,23450.2,1.29813,0.94547,1.18683,0.6888,0.82125,0.77268,0.49493,1.30111,0.80953,1.21662,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
56,23880,1.29568,0.94338,1.18411,0.69013,0.82077,0.77309,0.49548,1.30003,0.80842,1.21567,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565
